price,totsp,livesp,kitsp,dist,metrdist,walk,brick,floor
730,134,102,10,9,10,1,1,1
477,119,93,15,9,1,1,0,1
350,80,44,14,10.5,10,1,1,0
410,102,75,10,6.5,5,1,1,1
50,63,47,7,12,20,0,1,0
340,83,49,19,9,5,1,1,1
285,90,61,6,14.5,10,1,0,1
470,146,86,16,14.5,5,1,1,1
135,105,58,21,13.5,15,1,1,1
470,120,75,18,9,10,1,1,1
450,125,80,20,9,3,1,0,1
87,90,57,13,14.5,15,1,1,1
142,125,66,19,10.5,10,1,0,1
73,77,45,10,5,7,1,0,1
126,119,67,17,15.5,10,1,0,0
350,90,62,12,10.5,5,0,0,1
270,82,49,13,8,15,1,0,1
420,102,70,20,3,2,1,1,1
52,86,46,9,12,10,0,0,1
530,150,80,15,7.5,7,1,1,1
127,119,68,15,15.5,10,1,0,1
170,53,33,9,3,10,1,1,1
116,77,45,18,6,7,0,0,1
84,74,41,12,7,3,1,0,1
350,113,85,20,9,10,1,0,1
130,109,51,16,13.5,10,0,1,1
223,63,38,7,7.5,3,1,1,1
285,90,57,7,3,3,1,0,1
175,112,78,16,7,10,1,1,1
190,106,58,24,9,5,0,0,1
56,68,43,7,13.5,10,0,1,1
310,100,62,17,4.5,15,1,0,1
100,77,50,6,3.5,3,1,1,1
135,65,39,7,12,15,0,0,0
260,107,58,14,13,1,1,0,1
125,93,66,9,6,5,1,1,0
220,148,85,14,14.5,7,0,1,1
280,108,65,14,14.5,15,1,1,1
299,100,65,11,9,10,1,0,1
147,111,65,16,14.5,6,0,1,1
174,130,71,16,14.5,4,0,0,1
92,85,53,10,12,15,1,1,0
207,134,77,21,15.5,5,1,0,1
360,103,80,14,3,3,1,1,1
260,80,46,12,9,2,1,1,1
160,57,42,8,3.5,5,1,1,1
250,100,50,15,12.7,5,1,0,1
352,108,81,16,4.5,10,1,1,1
210,71,45,15,9,1,1,1,1
170,98,73,12,6,1,1,1,0
210,71,45,6,9,1,1,1,1
99,79,62,6,17,2,1,1,0
260,70,45,8,8,7,1,1,0
340,121,72,13,12.5,3,1,1,1
82,62,32,7,6,5,1,1,0
215,67,42,9,7.5,3,1,1,1
72,64,43,7,6,7,1,0,1
252,132,74,23,12.5,3,1,1,0
199,127,62,20,13.5,10,0,1,1
371,120,59,15,7,10,0,0,1
371,120,59,15,7,10,0,0,1
250,74,56,8,4.5,7,1,1,1
151,111,64,16,14.5,10,0,1,1
160,119,68,10,11,7,1,1,0
190,73,41,11,3.5,1,1,1,1
180,71,42,8,7,15,0,0,1
299,99,65,11,9,10,1,1,1
250,74,47,10,3,5,1,1,0
200,85,54,14,14.5,15,1,0,1
210,94,59,11,12.7,2,1,1,1
132,94,60,11,6.5,3,1,0,0
150,112,64,16,14.5,5,0,0,1
120,56,42,6,12,5,1,1,1
330,104,60,11,10.5,7,0,1,1
460,153,84,18,9,5,1,1,1
370,111,60,13,8,5,1,1,1
380,130,72,15,7,5,0,0,1
126,84,56,9,3.5,4,1,1,1
299,100,75,12,6.5,5,1,1,1
150,92,69,8,4.5,10,1,1,1
79,65,45,7,6,7,1,0,1
120,66,40,19,7.5,10,1,1,1
230,103,51,14,14.5,15,1,1,1
210,80,42,20,8,5,1,0,1
160,68,44,8,17,5,1,0,1
230,95,64,10,10.5,15,1,1,1
90,64,39,9,6,5,0,1,1
150,108,56,15,11,5,1,1,1
200,90,60,10,12,10,1,1,1
190,85,53,12,12,3,1,0,0
96,76,53,8,6,10,0,1,1
130,56,40,5,3.5,10,1,1,0
185,66,44,6,9,3,1,1,0
240,81,54,8,9,3,1,1,0
150,54,39,6,7,3,1,1,1
135,84,55,11,3,15,1,1,1
110,85,54,10,6,10,0,1,1
130,56,42,7,14.5,3,1,1,1
120,75,48,11,3,15,1,1,1
450,145,82,14,4.5,3,1,1,1
180,83,53,8,12,5,1,1,1
170,92,62,18,6,7,1,1,1
315,118,54,12,3.5,2,1,1,1
160,92,69,14,4.5,10,1,1,1
245,80,49,10,3,10,1,1,0
152,108,56,15,11,5,1,1,1
113,91,52,9,6.5,10,1,1,1
451,156,80,20,10.5,5,0,1,1
73,53,34,6,7.5,3,1,1,0
309,107,72,17,10.5,1,1,1,1
245,83,48,12,7.5,10,1,1,1
170,82,52,20,5,1,1,0,1
75,79,47,8,17,10,0,0,1
145,63,41,8,3.5,3,1,0,1
130,96,57,9,7.5,5,0,1,1
270,97,56,18,8,10,1,1,1
109,79,45,13,14.5,5,0,1,1
371,128,70,18,7,5,0,0,1
125,66,40,10,12,20,1,0,1
212,119,70,17,9,5,0,1,1
115,86,67,13,13.5,15,0,0,1
120,77,51,12,4.5,7,0,1,1
132,88,63,8,8,5,1,1,1
235,92,52,15,3.5,3,1,0,1
250,78,47,10,10.5,7,1,0,1
171,96,50,18,7,5,1,0,1
120,100,63,9,13,7,0,0,1
110,51,34,6,3.5,7,1,0,1
90,72,53,10,11.5,5,0,1,1
135,75,43,11,12.7,15,1,0,1
227,134,70,16,9,5,1,0,1
215,76,55,8,7.5,2,1,1,1
210,72,49,7,7.5,5,1,1,1
